Intents_Level1,Intents_Level2,Intents_Level3,ID_NO,Asian Count,,,,,,,,,,,,,,,,,,,,
Ambiguous,Clarify Event,Ambiguous/Clarify Event,6019,X,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6004,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6129,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,tester,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6066,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6078,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6070,X,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,tester,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6050,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6119,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,tester,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6026,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,tester,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6011,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6122,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6092,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6177,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,tester,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6059,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6049,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6078,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6025,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6086,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6123,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6003,X,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6025,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6063,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6001,X,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6092,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6114,,,,,,,,,,,,,,,,,,,,,
,,Ambiguous/Clarify Event,6092,,,,,,,,,,,,,,,,,,,,,
